id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.82
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.55
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.10,0.65
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.40
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.05,0.75
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.30
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.40,0.35
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.70,0.45
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.92,0.50
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.08,0.60
11,Golden Hour Drive,Solstice Kids,hip-hop,confident,0.68,95,0.72,0.85,0.12,0.05,0.70
12,Winter Sonata,Elena Vasquez,classical,melancholic,0.22,66,0.35,0.20,0.95,0.98,0.25
13,Neon Pulse,Kilowatt,edm,euphoric,0.95,128,0.88,0.91,0.03,0.60,0.80
14,Dusty Backroads,Cotton & Rye,country,nostalgic,0.45,100,0.58,0.50,0.68,0.10,0.45
15,Velvet Confession,Marlowe Grey,r&b,romantic,0.50,84,0.62,0.65,0.30,0.05,0.55
16,Broken Amp,Fault Line,punk,angry,0.97,168,0.30,0.55,0.05,0.08,0.35
17,River Bend Hymn,Willow Creek,folk,peaceful,0.30,76,0.55,0.35,0.90,0.30,0.20
18,Carnival Lights,Ruby Static,reggae,playful,0.60,98,0.80,0.78,0.25,0.12,0.50
